name,latitud,longitud,category
Andén Vía 12 Estación de Madrid-Puerta de Atocha,40.40485700877375,-3.689550161361694,'Platform' 
Andén 15 Estación de Madrid-Puerta de Atocha,40.40491472738958,-3.690174481789055,'Platform' 
Renfe Media Distancia Extremadura,40.40372530377179,-3.687638149055557,'Train'
Cercanías Embajadores,40.40478042209165,-3.7025563524448035,'Train Station'
Andén 3 AVE Estación de Madrid-Puerta de Atocha,40.40406486896619,-3.687370652629683,'Platform' 
Vía 6,40.403883326268726,-3.6872220441157615,'Platform' 
Cercanías Príncipe Pío,40.42156712701484,-3.719177322692252,'Train Station'
Puerta 2 ave,40.40371647773272,-3.6875192615804373,'Platform' 
Andén Vía 8 Estación de Madrid-Puerta de Atocha,40.40340877224572,-3.6874053280124532,'Platform' 
Via 2,40.40324684514133,-3.6865434041212897,'Platform' 
Cercanías Delicias,40.40012467567514,-3.6920543499194944,'Train Station'
Ave Madrid-Joaquin Sorolla,40.40287965095125,-3.6881979146745163,'Train'
Anden 10,40.40183949924626,-3.6837447296026142,'Platform' 
Intercambiador de Príncipe Pío,40.42094531915469,-3.7202752491205753,'Train Station'
Cercanías Méndez Álvaro,40.39580161065463,-3.6782265107198153,'Train Station'
Cercanías Pirámides,40.40248604940046,-3.711201883844389,'Train Station'
Intercambiador de Méndez Álvaro,40.39531805625652,-3.678199052810669,'Train Station'
