_id,name,lat,long,category,loc,distance
{'$oid': '602150f628ec95f95d4ebff2'},Cercanías Sol,40.41694264946852,-3.703006274474399,'Train Station',"{'type': 'Point', 'coordinates': [-3.703006274474399, 40.41694264946852]}",2.447904026657231
{'$oid': '602150f628ec95f95d4ebff3'},Intercambiador de Sol,40.41693193080081,-3.7030229001260166,'Train Station',"{'type': 'Point', 'coordinates': [-3.7030229001260166, 40.41693193080081]}",2.4497404442851205
{'$oid': '602150f628ec95f95d4ec001'},Metro Madrid Línea 1,40.41155584753445,-3.697353191046533,'Train',"{'type': 'Point', 'coordinates': [-3.697353191046533, 40.41155584753445]}",2.5177414514556298
{'$oid': '602150f628ec95f95d4ebff7'},Metro Antón Martín,40.41192762537371,-3.6980581283569336,'Train Station',"{'type': 'Point', 'coordinates': [-3.6980581283569336, 40.41192762537371]}",2.5221512778565054
{'$oid': '602150f628ec95f95d4ebff8'},Plaza Del Embarcadero,40.40732059251624,-3.690194297389399,'Train Station',"{'type': 'Point', 'coordinates': [-3.690194297389399, 40.40732059251624]}",2.6382493627519437
{'$oid': '602150f628ec95f95d4ec005'},RENFE AVE,40.40650623236095,-3.689946602943222,'Train',"{'type': 'Point', 'coordinates': [-3.689946602943222, 40.40650623236095]}",2.716245058425089
{'$oid': '602150f628ec95f95d4ebfec'},Estación de Madrid-Puerta de Atocha,40.40646695335092,-3.689802940720376,'Train Station',"{'type': 'Point', 'coordinates': [-3.689802940720376, 40.40646695335092]}",2.7163604734543414
{'$oid': '602150f628ec95f95d4ebff9'},Andén AVE Vía 7,40.406446,-3.690179,'Train Station',"{'type': 'Point', 'coordinates': [-3.690179, 40.406446]}",2.7291403646986607
{'$oid': '602150f628ec95f95d4ec006'},Avant Madrid - Toledo,40.40658693838445,-3.690714459675617,'Train',"{'type': 'Point', 'coordinates': [-3.690714459675617, 40.40658693838445]}",2.7301061317963002
{'$oid': '602150f628ec95f95d4ec00e'},Vía 5 Cercanías Atocha,40.40601302981499,-3.688509464263916,'Platform' ,"{'type': 'Point', 'coordinates': [-3.688509464263916, 40.40601302981499]}",2.7308491386888907
{'$oid': '602150f628ec95f95d4ebffa'},Cercanías Pirámides,40.40601526685077,-3.6887279639378208,'Train Station',"{'type': 'Point', 'coordinates': [-3.6887279639378208, 40.40601526685077]}",2.735949577481837
{'$oid': '602150f628ec95f95d4ec007'},Renfe Madrid - Alcazar De San Juan,40.40614350924264,-3.6894611253482767,'Train',"{'type': 'Point', 'coordinates': [-3.6894611253482767, 40.40614350924264]}",2.7411523715365735
{'$oid': '602150f628ec95f95d4ebffc'},AVE Puerta 13 Planta Baja,40.406242,-3.690179,'Train Station',"{'type': 'Point', 'coordinates': [-3.690179, 40.406242]}",2.7505046079241753
{'$oid': '602150f628ec95f95d4ec009'},Me vuelvo a Murcia,40.40613263394396,-3.689892110327889,'Train',"{'type': 'Point', 'coordinates': [-3.689892110327889, 40.40613263394396]}",2.7539634300088367
{'$oid': '602150f628ec95f95d4ec008'},Ave 2120 Mad- Svq,40.406159134178,-3.6900110033825095,'Train',"{'type': 'Point', 'coordinates': [-3.6900110033825095, 40.406159134178]}",2.754474382772564
{'$oid': '602150f628ec95f95d4ec013'},Vía 9 Cercanías - Atocha,40.40584963581963,-3.688809871673584,'Platform',"{'type': 'Point', 'coordinates': [-3.688809871673584, 40.40584963581963]}",2.7555892061916936
{'$oid': '602150f628ec95f95d4ec016'},Andén Vía 4 AVE Estación de Madrid-Puerta de Atocha,40.40594350411079,-3.689253064948736,'Platform',"{'type': 'Point', 'coordinates': [-3.689253064948736, 40.40594350411079]}",2.7568433749983883
{'$oid': '602150f628ec95f95d4ebffd'},Vía 3 Cercanías Madrid,40.4055968035926,-3.688009674217214,'Train Station',"{'type': 'Point', 'coordinates': [-3.688009674217214, 40.4055968035926]}",2.7636492460874154
